year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2024,June,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,38,31
2024,June,CH01,CHEMISTRY UNIT 1,70,66,,54,48,42,36,30
2024,June,CH02,CHEMISTRY UNIT 2,70,66,,52,45,38,31,25
2024,June,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2024,June,CH04,CHEMISTRY UNIT 4,80,78,70,62,54,46,38,31
2024,June,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2024,June,EC01,ECONOMICS UNIT 1,80,75,,59,51,43,35,27
2024,June,EC02,ECONOMICS UNIT 2,80,72,,58,51,44,37,30
2024,June,EC03,ECONOMICS UNIT 3,90,80,72,64,56,48,40,33
2024,June,EC04,ECONOMICS UNIT 4,90,81,73,65,57,49,41,33
2024,June,EN01,ENGLISH LANGUAGE UNIT 1,50,,,40,35,30,25,21
2024,June,EN02,ENGLISH LANGUAGE UNIT 2,50,45,,37,33,29,25,21
2024,June,EN03,ENGLISH LANGUAGE UNIT 3,50,49,44,39,34,29,25,21
2024,June,EN04A,ENGLISH LANGUAGE UNIT 4A,50,,45,40,35,30,25,20
2024,June,EN04B,ENGLISH LANGUAGE UNIT 4B,50,49,45,41,35,30,25,20
2024,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,,,63,54,45,37,29
2024,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,79,,63,55,47,39,31
2024,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,116,104,92,80,68,56,44
2024,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,,71,62,53,44,35,27
2024,June,FM05,FURTHER MATHS UNIT 5 (FM2),80,77,69,61,53,45,37,30
2024,June,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,62,,50,44,38,32,26
2024,June,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,64,,50,43,37,31,25
2024,June,GG02,GEOGRAPHY UNIT 2,80,62,,50,44,38,32,26
2024,June,GG03,GEOGRAPHY UNIT 3,80,64,57,50,43,36,30,24
2024,June,GG04,GEOGRAPHY UNIT 4,80,64,57,50,43,36,30,24
2024,June,GG05,GEOGRAPHY UNIT 5,60,55,49,43,37,31,25,20
2024,June,LT01,ENGLISH LITERATURE UNIT 1,50,43,,33,28,23,18,14
2024,June,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,15
2024,June,LT03,ENGLISH LITERATURE UNIT 3,50,46,41,36,31,26,21,17
2024,June,LT04A,ENGLISH LITERATURE UNIT 4A,50,39,35,31,27,23,19,16
2024,June,LT04B,ENGLISH LITERATURE UNIT 4B,50,,45,40,34,28,23,18
2024,June,MA01,MATHS UNIT 1 (P1),80,78,,60,51,43,35,27
2024,June,MA02,MATHS UNIT 2 (PSM1),80,78,,62,54,46,38,30
2024,June,MA03,MATHS UNIT 3 (P2),120,118,106,94,82,70,58,47
2024,June,MA04,MATHS UNIT 4 (S2),80,,72,64,56,48,40,33
2024,June,MA05,MATHS UNIT 5 (M2),80,78,70,62,54,46,38,31
2024,June,PH01,PHYSICS UNIT 1,80,62,,52,47,42,38,34
2024,June,PH02,PHYSICS UNIT 2,80,58,,46,40,34,29,24
2024,June,PH03,PHYSICS UNIT 3,80,62,56,50,44,38,32,27
2024,June,PH04,PHYSICS UNIT 4,80,70,63,56,49,42,35,29
2024,June,PH05,PHYSICS UNIT 5,80,64,57,50,43,36,30,24
2024,June,PS01,PSYCHOLOGY UNIT 1,90,77,,61,53,45,37,30
2024,June,PS02,PSYCHOLOGY UNIT 2,90,84,,66,57,48,40,32
2024,June,PS03,PSYCHOLOGY UNIT 3,90,86,77,68,59,50,42,34
2024,June,PS04,PSYCHOLOGY UNIT 4,90,83,74,65,56,47,39,31
2024,January,BL01,BIOLOGY UNIT 1,75,61,,49,43,37,31,26
2024,January,BL02,BIOLOGY UNIT 2,75,57,,47,42,37,32,27
2024,January,BL03,BIOLOGY UNIT 3,75,57,52,47,42,37,33,29
2024,January,BL04,BIOLOGY UNIT 4,75,56,51,46,41,37,33,29
2024,January,BL05,BIOLOGY UNIT 5,75,52,48,44,40,36,32,28
2024,January,BU01,BUSINESS UNIT 1,80,72,,56,48,40,32,25
2024,January,BU02,BUSINESS UNIT 2,80,70,,54,46,39,32,25
2024,January,BU03,BUSINESS UNIT 3,80,71,63,55,47,39,32,25
2024,January,BU04,BUSINESS UNIT 4,80,76,68,60,52,44,37,30
2024,January,CH01,CHEMISTRY UNIT 1,70,0,,54,46,39,32,25
2024,January,CH02,CHEMISTRY UNIT 2,70,68,,52,44,36,28,21
2024,January,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2024,January,CH04,CHEMISTRY UNIT 4,80,77,68,59,50,42,34,26
2024,January,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2024,January,EC01,ECONOMICS UNIT 1,80,74,,58,50,42,34,27
2024,January,EC02,ECONOMICS UNIT 2,80,75,,59,51,43,36,29
2024,January,EC03,ECONOMICS UNIT 3,90,80,72,64,56,48,40,33
2024,January,EC04,ECONOMICS UNIT 4,90,81,73,65,57,49,41,33
2024,January,EN01,ENGLISH LANGUAGE UNIT 1,50,48,,38,33,28,24,20
2024,January,EN02,ENGLISH LANGUAGE UNIT 2,50,45,,37,33,29,25,21
