year,session,code,unit,max_mark,a*,a,b,c,d,e,u
2025,Jun,WEC14,Unit 4: Developments in the Global Economy,80,61,56,51,46,41,36,0
2025,Jun,WEC14,Unit 4A: Developments in the Global Economy,80,61,55,49,43,38,33,0
2025,Jun,WEN01,Unit 1: Language: Context and Identity,50,,30,26,22,19,16,0
2025,Jun,WEN01,Unit 1C: Language: Context and Identity,50,,30,26,22,19,16,0
2025,Jun,WEN02,Unit 2: Language in Transition,50,,35,30,26,22,18,0
2025,Jun,WEN02,Unit 2C: Language in Transition,50,,35,30,26,22,18,0
2025,Jun,WEN03,Unit 3: Crafting Language (Writing),50,35,31,27,23,20,17,0
2025,Jun,WEN03,Unit 3C: Crafting Language (Writing),50,35,31,27,23,20,17,0
2025,Jun,WEN04,Unit 4: Investigating Language,50,39,34,29,24,19,15,0
2025,Jun,WEN04,Unit 4C: Investigating Language,50,39,34,29,24,19,15,0
2025,Jun,WET01,Unit 1: Post-2000 Poetry and Prose,50,,32,28,24,21,18,0
2025,Jun,WET01,Unit 1C: Post-2000 Poetry and Prose,50,,32,28,24,21,18,0
2025,Jun,WET02,Unit 2: Drama,50,,33,29,25,21,18,0
2025,Jun,WET02,Unit 2C: Drama,50,,33,29,25,21,18,0
2025,Jun,WET03,Unit 3: Poetry and Prose,50,36,32,28,24,20,16,0
2025,Jun,WET03,Unit 3C: Poetry and Prose,50,36,32,28,24,20,16,0
2025,Jun,WET04,Unit 4: Shakespeare and Pre-1900 Poetry,50,41,37,33,29,25,21,0
2025,Jun,WET04,Unit 4C: Shakespeare and Pre-1900 Poetry,50,41,37,33,29,25,21,0
2025,Jun,WFM01,Unit 1: Further Pure Mathematics 1,75,,64,57,50,44,38,0
2025,Jun,WFM02,Unit 2: Further Pure Mathematics 2,75,71,67,59,52,45,38,0
2025,Jun,WFM02,Unit 2A: Further Pure Mathematics 2,75,69,63,55,48,41,34,0
2025,Jun,WFM03,Unit 3: Further Pure Mathematics 3,75,64,58,52,46,40,35,0
2025,Jun,WFR01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2025,Jun,WFR02,Unit 2: Understanding and Written Response,90,,71,65,59,53,48,0
2025,Jun,WFR03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2025,Jun,WFR04,"Unit 4: Research, Understanding and Written Response",90,81,72,62,53,44,35,0
2025,Jun,WGE01,Unit 1: Global Challenges,90,,60,55,50,45,40,0
2025,Jun,WGE02,Unit 2: Geographical Investigations,60,,49,45,41,38,35,0
2025,Jun,WGE03,Unit 3: Contested Planet,90,69,62,55,48,41,34,0
2025,Jun,WGE04,Unit 4: Researching Geography,60,47,41,35,29,24,19,0
2025,Jun,WGK01,Unit 1: Understanding and Written Response,80,,56,48,41,34,27,0
2025,Jun,WGK02,Unit 2: Writing and Research,80,67,59,51,43,36,29,0
2025,Jun,WGN01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2025,Jun,WGN02,Unit 2: Understanding and Written Response,90,,66,58,50,42,35,0
2025,Jun,WGN03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2025,Jun,WGN04,"Unit 4: Research, Understanding and Written Response",90,73,65,57,50,43,36,0
2025,Jun,WHI01,"Unit 1A: France in Revolution, 1774-99",50,,39,34,29,25,21,0
2025,Jun,WHI01,"Unit 1B: Russia in Revolution, 1881-1917",50,,39,34,30,26,22,0
2025,Jun,WHI01,"Unit 1C: Germany, 1918-45",50,,39,34,29,25,21,0
2025,Jun,WHI01,"Unit 1D: Britain, 1964-90",50,,39,34,29,25,21,0
2025,Jun,WHI02,"Unit 2A: India, 1857-1948: The Raj to Partition",50,,34,31,28,25,22,0
2025,Jun,WHI02,"Unit 2B: China, 1900-76",50,,35,31,28,25,22,0
2025,Jun,WHI02,"Unit 2C: Russia, 1917-91: From Lenin to Yeltsin",50,,36,32,28,25,22,0
2025,Jun,WHI02,"Unit 2D: South Africa, 1948-2014",50,,34,31,28,25,22,0
2025,Jun,WHI03,"Unit 3A: The USA, Independence to Civil War, 1763-1865",50,45,40,35,30,25,21,0
2025,Jun,WHI03,"Unit 3B: The British Experience of Warfare, 1803-1945",50,45,40,35,30,25,21,0
2025,Jun,WHI03,"Unit 3C: Germany: United, Divided and Reunited,1 870-1990",50,45,40,35,30,25,21,0
2025,Jun,WHI03,"Unit 3D: Civil Rights and Race Relations in the USA,1 865-2009",50,44,39,34,29,25,21,0
2025,Jun,WHI04,"Unit 4A: The Making of Modern Europe, 1805-71",50,38,34,30,27,24,21,0
2025,Jun,WHI04,"Unit 4B: The World in Crisis, 1879-1945",50,41,36,31,27,23,19,0
2025,Jun,WHI04,"Unit 4C: The World Divided: Superpower Relations, 1 943-90",50,41,37,33,29,25,21,0
2025,Jun,WHI04,"Unit 4D: The Cold War and Hot War in Asia, 1945-90",50,38,34,30,27,24,21,0
2025,Jun,WIT11,Unit 1,80,,55,49,43,37,32,0
2025,Jun,WIT12,Unit 2,80,,64,56,49,42,35,0
2025,Jun,WIT13,Unit 3,80,57,51,45,39,33,28,0
2025,Jun,WIT14,Unit 4,80,68,61,54,47,40,33,0
2025,Jun,WMA11,Unit 1: Pure Mathematics 1,75,,55,48,41,35,29,0
2025,Jun,WMA11,Unit 1A: Pure Mathematics 1,75,,55,48,41,35,29,0
2025,Jun,WMA12,Unit 2: Pure Mathematics 2,75,,53,47,41,35,29,0
2025,Jun,WMA12,Unit 2A: Pure Mathematics 2,75,,53,47,41,35,29,0
2025,Jun,WMA13,Unit 3: Pure Mathematics 3,75,63,57,51,45,39,34,0
2025,Jun,WMA13,Unit 3A: Pure Mathematics 3,75,65,59,53,47,41,36,0
2025,Jun,WMA14,Unit 4: Pure Mathematics 4,75,63,56,49,42,36,30,0
2025,Jun,WMA14,Unit 4A: Pure Mathematics 4,75,63,56,49,42,36,30,0
